Date ,Time ,Open ,High,Low ,Close ,Volume
2022.08.12,4:00,0.84626,0.84634,0.84581,0.84634,5428
2022.08.12,8:00,0.84633,0.84652,0.8445,0.84582,12443
2022.08.12,12:00,0.84581,0.84916,0.84581,0.8479,16393
2022.08.12,16:00,0.84789,0.84793,0.84488,0.84549,24617
2022.08.12,20:00,0.8455,0.84589,0.84491,0.84502,9015
2022.08.15,0:00,0.84523,0.8458,0.84455,0.84534,3593
2022.08.15,4:00,0.84535,0.84599,0.84519,0.84593,6237
2022.08.15,8:00,0.8459,0.84697,0.84495,0.84523,11796
2022.08.15,12:00,0.84524,0.84594,0.84288,0.84371,18053
2022.08.15,16:00,0.8437,0.84436,0.84185,0.84192,18553
2022.08.15,20:00,0.84191,0.84304,0.84179,0.84266,9663
2022.08.16,0:00,0.84278,0.84337,0.84221,0.8432,7072
2022.08.16,4:00,0.84321,0.84338,0.84281,0.84281,4970
2022.08.16,8:00,0.84282,0.84389,0.84207,0.84217,14511
2022.08.16,12:00,0.84218,0.84358,0.84115,0.84131,17417
2022.08.16,16:00,0.84133,0.84276,0.84044,0.84132,22879
2022.08.16,20:00,0.84133,0.84186,0.84038,0.84078,9477
2022.08.17,0:00,0.84064,0.84087,0.83969,0.83988,6805
2022.08.17,4:00,0.83995,0.84054,0.83982,0.84002,6441
2022.08.17,8:00,0.84001,0.84088,0.83864,0.84049,13488
2022.08.17,12:00,0.8405,0.8422,0.83999,0.84203,17819
2022.08.17,16:00,0.84201,0.84493,0.84191,0.84418,21470
2022.08.17,20:00,0.84417,0.84491,0.84379,0.84476,14945
2022.08.18,0:00,0.84474,0.84551,0.84403,0.84527,7195
2022.08.18,4:00,0.84526,0.8458,0.84425,0.84429,6266
2022.08.18,8:00,0.8443,0.84654,0.8436,0.84379,15427
2022.08.18,12:00,0.84377,0.84433,0.84239,0.84391,17227
2022.08.18,16:00,0.84392,0.84522,0.84247,0.84518,23231
2022.08.18,20:00,0.84517,0.84563,0.84487,0.84538,12145
2022.08.19,0:00,0.84537,0.84645,0.84515,0.84644,7696
2022.08.19,4:00,0.84645,0.8469,0.84535,0.84644,5748
2022.08.19,8:00,0.84643,0.84841,0.84537,0.848,13099
2022.08.19,12:00,0.84801,0.85024,0.84775,0.84943,17081
2022.08.19,16:00,0.84945,0.85103,0.84842,0.84856,21130
2022.08.19,20:00,0.84857,0.84943,0.84836,0.84882,10605
2022.08.22,0:00,0.84857,0.84925,0.8481,0.84899,5319
2022.08.22,4:00,0.84898,0.84901,0.84804,0.84837,6070
2022.08.22,8:00,0.84838,0.8487,0.84738,0.84758,15454
2022.08.22,12:00,0.84759,0.84852,0.84604,0.84654,16749
2022.08.22,16:00,0.84653,0.84683,0.84334,0.84336,20716
2022.08.22,20:00,0.84335,0.8454,0.84335,0.84484,8066
2022.08.23,0:00,0.84441,0.84529,0.84401,0.84407,6016
2022.08.23,4:00,0.84406,0.84468,0.844,0.84439,5581
2022.08.23,8:00,0.8444,0.8454,0.84321,0.84323,18371
2022.08.23,12:00,0.84324,0.84476,0.84272,0.84341,17616
2022.08.23,16:00,0.84342,0.84462,0.84148,0.8421,30392
2022.08.23,20:00,0.84211,0.84296,0.84199,0.84223,11089
2022.08.24,0:00,0.84238,0.84287,0.84201,0.84239,5694
2022.08.24,4:00,0.84236,0.84287,0.84181,0.84195,6051
2022.08.24,8:00,0.84194,0.84238,0.84069,0.84118,12198
2022.08.24,12:00,0.84117,0.84352,0.84104,0.84326,20478
2022.08.24,16:00,0.84327,0.84555,0.84241,0.84444,27441
2022.08.24,20:00,0.84445,0.84533,0.84436,0.84487,9228
2022.08.25,0:00,0.84494,0.84546,0.84429,0.84501,5666
2022.08.25,4:00,0.845,0.84528,0.84454,0.84479,5381
2022.08.25,8:00,0.84477,0.84602,0.84386,0.84484,13909
2022.08.25,12:00,0.84485,0.84486,0.84261,0.84337,17284
2022.08.25,16:00,0.84336,0.84473,0.84226,0.84255,21053
2022.08.25,20:00,0.84254,0.84317,0.84235,0.84297,9727
2022.08.26,0:00,0.84274,0.84405,0.84236,0.84342,6769
2022.08.26,4:00,0.84343,0.84368,0.84293,0.84358,4351
2022.08.26,8:00,0.84356,0.84703,0.84352,0.84639,12788
2022.08.26,12:00,0.84638,0.84652,0.84501,0.84632,17673
2022.08.26,16:00,0.84633,0.85014,0.84572,0.84901,36332
2022.08.26,20:00,0.849,0.84924,0.84744,0.84884,11935
2022.08.29,0:00,0.84903,0.85037,0.84862,0.85018,7636
2022.08.29,4:00,0.85019,0.85098,0.85,0.85076,7109
2022.08.29,8:00,0.85077,0.85236,0.85046,0.85235,13637
2022.08.29,12:00,0.85234,0.85488,0.85179,0.85409,18255
2022.08.29,16:00,0.85408,0.85479,0.85299,0.85424,19348
2022.08.29,20:00,0.85426,0.85443,0.85366,0.85372,9356
2022.08.30,0:00,0.85338,0.85439,0.85309,0.85392,7211
2022.08.30,4:00,0.8539,0.85469,0.85347,0.85416,6804
2022.08.30,8:00,0.85417,0.85497,0.85208,0.85391,16491
2022.08.30,12:00,0.85387,0.85683,0.85384,0.85567,19096
2022.08.30,16:00,0.85562,0.86025,0.8556,0.86022,29051
2022.08.30,20:00,0.86021,0.86028,0.85899,0.85899,14588
2022.08.31,0:00,0.85909,0.85973,0.85909,0.85936,7077
2022.08.31,4:00,0.85935,0.85968,0.85882,0.85915,4943
2022.08.31,8:00,0.85916,0.8604,0.85703,0.85719,14743
2022.08.31,12:00,0.85722,0.86095,0.85709,0.85987,19392
2022.08.31,16:00,0.85985,0.86519,0.85975,0.86467,30241
2022.08.31,20:00,0.86466,0.86525,0.86418,0.86488,14413
2022.09.01,0:00,0.86491,0.866,0.86448,0.86523,10226
2022.09.01,4:00,0.86522,0.86623,0.86478,0.86485,7556
2022.09.01,8:00,0.86487,0.86556,0.86274,0.86536,17917
2022.09.01,12:00,0.86535,0.86691,0.86355,0.8636,19499
2022.09.01,16:00,0.86358,0.86384,0.86118,0.86142,24335
